ghc,hc,bj,gbj,gnull,ggnull,score,fdr_ratio,minP,N,H0,H1,name,min_cor,avg_cor,max_cor,mu,eps,asymp,ghc-AvgFailPct,ghc-PctAllFail,gbj-AvgFailPct,gbj-PctAllFail,ggnull-AvgFailPct,ggnull-PctAllFail
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,3.255,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,3.088,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,2.912,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,2.724,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,2.522,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,2.302,14,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,2.059,14,detectable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,1.783,14,detectable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,1.456,14,detectable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,1.029,14,detectable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
4.5/51,2.0/55,7.0/42,9.0/40,3.0/53,1.0/58,4.5/51,7.0/42,7.0/42,200,5000,500,rat,-0.69,0.0,0.77,3.255,10,identifiable,0.0,0.0,0.5152455357142857,0.13392857142857142,0.0,0.0
