ghc,hc,bj,gbj,gnull,ggnull,cpma,score,fdr_ratio,minP,N,H0,H1,name,min_cor,avg_cor,max_cor,mu,eps,asymp,ghc-mean,ghc-0,gbj-mean,gbj-0,ggnull-mean,ggnull-0
9.5/890,9.5/890,4.5/984,4.5/984,4.5/984,4.5/984,8.0/921,1.0/1000,4.5/984,4.5/984,40,100,100,I,0.0,0.0,0.0,2.716,6,detectable,0.0,1.0,0.029687500000000002,0.8125,0.0,1.0
9.0/656,9.0/656,5.5/781,1.5/828,3.5/812,3.5/812,9.0/656,1.5/828,5.5/781,7.0/750,40,100,100,I,0.0,0.0,0.0,2.218,6,detectable,0.0,1.0,0.07500000000000001,0.71875,0.0,1.0
8.5/312,8.5/312,5.0/375,3.0/390,3.0/390,3.0/390,10.0/265,1.0/437,6.5/343,6.5/343,40,100,100,I,0.0,0.0,0.0,1.568,6,identifiable,0.0,1.0,0.13046875,0.5625,0.0,1.0
9.5/234,9.5/234,6.0/453,4.0/484,4.0/484,4.0/484,8.0/265,7.0/437,1.5/562,1.5/562,40,100,100,I,0.0,0.0,0.0,2.716,2,detectable,0.0,1.0,0.19921875,0.4375,0.0,1.0
9.5/156,9.5/156,6.0/265,3.0/312,4.5/281,4.5/281,8.0/171,7.0/234,1.0/359,2.0/343,40,100,100,I,0.0,0.0,0.0,2.218,2,identifiable,0.0,1.0,0.23203125,0.421875,0.0,1.0
2.0/140,2.0/140,10.0/46,8.0/78,8.0/78,8.0/78,4.0/109,2.0/140,5.5/93,5.5/93,40,100,100,I,0.0,0.0,0.0,1.568,2,identifiable,0.0,1.0,0.29921875,0.234375,0.0,1.0
8.5/109,8.5/109,6.5/187,4.0/203,4.0/203,4.0/203,10.0/93,6.5/187,1.0/328,2.0/312,40,100,100,I,0.0,0.0,0.0,2.716,1,unidentifiable,0.0,1.0,0.29609375000000004,0.25,0.0,1.0
6.5/93,6.5/93,9.5/78,2.0/125,6.5/93,6.5/93,9.5/78,1.0/140,3.5/109,3.5/109,40,100,100,I,0.0,0.0,0.0,2.218,1,unidentifiable,0.0,1.0,0.33281249999999996,0.21875,0.0,1.0
3.5/109,3.5/109,8.5/62,8.5/62,8.5/62,8.5/62,6.0/93,1.0/125,3.5/109,3.5/109,40,100,100,I,0.0,0.0,0.0,1.568,1,unidentifiable,0.0,1.0,0.34843749999999996,0.21875,0.0,1.0
9.0/515,10.0/468,8.0/781,1.0/906,7.0/796,2.0/890,5.5/812,3.0/875,4.0/828,5.5/812,40,100,100,norm_sig,0.04,0.15,0.63,2.716,6,detectable,0.0,1.0,0.0703125,0.71875,0.0,1.0
9.5/484,9.5/484,7.0/546,3.0/640,6.0/593,5.0/609,8.0/515,1.0/687,2.0/656,4.0/625,40,100,100,norm_sig,0.04,0.15,0.63,2.218,6,detectable,0.0,1.0,0.06562499999999999,0.703125,0.0,1.0
3.0/328,3.0/328,7.5/281,3.0/328,5.5/296,5.5/296,7.5/281,1.0/343,9.0/265,10.0/250,40,100,100,norm_sig,0.04,0.15,0.63,1.568,6,identifiable,0.0,1.0,0.15781250000000002,0.53125,0.0,1.0
9.0/187,9.0/187,6.5/281,3.0/453,6.5/281,4.0/437,9.0/187,5.0/312,1.0/500,2.0/484,40,100,100,norm_sig,0.04,0.15,0.63,2.716,2,detectable,0.0,1.0,0.22734375,0.4375,0.0,1.0
8.5/156,8.5/156,6.0/171,2.5/312,6.0/171,4.0/250,10.0/125,6.0/171,1.0/328,2.5/312,40,100,100,norm_sig,0.04,0.15,0.63,2.218,2,identifiable,0.0,1.0,0.259375,0.375,0.0,1.0
8.0/125,8.0/125,8.0/125,3.5/156,8.0/125,3.5/156,8.0/125,5.0/140,1.5/171,1.5/171,40,100,100,norm_sig,0.04,0.15,0.63,1.568,2,identifiable,0.0,1.0,0.32734375,0.3125,0.0,1.0
8.5/125,8.5/125,5.0/203,2.0/406,6.0/171,3.5/390,10.0/109,7.0/140,1.0/421,3.5/390,40,100,100,norm_sig,0.04,0.15,0.63,2.716,1,unidentifiable,0.0,1.0,0.32109374999999996,0.328125,0.0,1.0
8.5/93,8.5/93,10.0/78,2.0/203,7.0/109,4.0/187,5.5/125,5.5/125,2.0/203,2.0/203,40,100,100,norm_sig,0.04,0.15,0.63,2.218,1,unidentifiable,0.0,1.0,0.35234374999999996,0.3125,0.0,1.0
4.5/78,4.5/78,10.0/46,4.5/78,8.5/62,4.5/78,4.5/78,1.0/109,4.5/78,8.5/62,40,100,100,norm_sig,0.04,0.15,0.63,1.568,1,unidentifiable,0.0,1.0,0.38203125000000004,0.265625,0.0,1.0
9.0/890,10.0/875,2.5/937,2.5/937,2.5/937,2.5/937,5.5/921,5.5/921,7.5/906,7.5/906,40,100,100,norm_sig,0.02,0.08,0.57,2.716,6,detectable,0.0,1.0,0.04687500000000001,0.703125,0.0,1.0
6.0/703,7.0/687,4.5/765,1.5/796,4.5/765,3.0/781,8.0/656,1.5/796,9.0/625,10.0/609,40,100,100,norm_sig,0.02,0.08,0.57,2.218,6,detectable,0.0,1.0,0.052343749999999994,0.78125,0.0,1.0
1.5/375,3.0/359,9.0/265,5.0/328,5.0/328,5.0/328,10.0/234,1.5/375,7.0/296,8.0/281,40,100,100,norm_sig,0.02,0.08,0.57,1.568,6,identifiable,0.0,1.0,0.12890625,0.578125,0.0,1.0
8.0/281,9.5/234,6.5/421,3.0/562,5.0/437,4.0/515,9.5/234,6.5/421,1.5/578,1.5/578,40,100,100,norm_sig,0.02,0.08,0.57,2.716,2,detectable,0.0,1.0,0.23046874999999997,0.4375,0.0,1.0
8.0/218,9.5/203,6.0/343,2.0/421,5.0/390,4.0/406,9.5/203,7.0/312,2.0/421,2.0/421,40,100,100,norm_sig,0.02,0.08,0.57,2.218,2,identifiable,0.0,1.0,0.23359375,0.390625,0.0,1.0
3.0/140,3.0/140,8.5/109,1.0/156,3.0/140,5.5/125,8.5/109,8.5/109,5.5/125,8.5/109,40,100,100,norm_sig,0.02,0.08,0.57,1.568,2,identifiable,0.0,1.0,0.30625,0.328125,0.0,1.0
8.0/156,10.0/125,6.0/296,4.5/312,3.0/328,4.5/312,8.0/156,8.0/156,1.0/390,2.0/375,40,100,100,norm_sig,0.02,0.08,0.57,2.716,1,unidentifiable,0.0,1.0,0.30000000000000004,0.3125,0.0,1.0
4.0/140,4.0/140,10.0/78,9.0/109,7.0/125,7.0/125,7.0/125,4.0/140,1.5/171,1.5/171,40,100,100,norm_sig,0.02,0.08,0.57,2.218,1,unidentifiable,0.0,1.0,0.346875,0.21875,0.0,1.0
7.5/125,7.5/125,9.5/78,3.5/140,3.5/140,3.5/140,9.5/78,3.5/140,3.5/140,3.5/140,40,100,100,norm_sig,0.02,0.08,0.57,1.568,1,unidentifiable,0.0,1.0,0.35390625,0.25,0.0,1.0
7.0/906,7.0/906,3.0/953,3.0/953,3.0/953,3.0/953,9.5/890,3.0/953,7.0/906,9.5/890,40,100,100,norm_sig,0.01,0.04,0.48,2.716,6,detectable,0.0,1.0,0.05390625,0.734375,0.0,1.0
6.5/765,6.5/765,5.0/781,4.0/796,2.0/828,3.0/812,8.0/734,1.0/859,9.5/718,9.5/718,40,100,100,norm_sig,0.01,0.04,0.48,2.218,6,detectable,0.0,1.0,0.05234375,0.78125,0.0,1.0
2.5/421,2.5/421,7.0/343,4.5/390,4.5/390,6.0/375,8.0/312,1.0/484,9.5/265,9.5/265,40,100,100,norm_sig,0.01,0.04,0.48,1.568,6,identifiable,0.0,1.0,0.15078124999999998,0.5625,0.0,1.0
9.5/250,9.5/250,6.0/562,4.0/578,1.0/609,2.0/593,8.0/328,7.0/531,4.0/578,4.0/578,40,100,100,norm_sig,0.01,0.04,0.48,2.716,2,detectable,0.0,1.0,0.1890625,0.453125,0.0,1.0
8.5/203,8.5/203,6.5/234,2.0/281,5.0/250,4.0/265,10.0/125,6.5/234,2.0/281,2.0/281,40,100,100,norm_sig,0.01,0.04,0.48,2.218,2,identifiable,0.0,1.0,0.23515625000000004,0.328125,0.0,1.0
2.5/140,2.5/140,6.5/93,6.5/93,4.0/125,5.0/109,8.0/78,1.0/171,9.5/62,9.5/62,40,100,100,norm_sig,0.01,0.04,0.48,1.568,2,identifiable,0.0,1.0,0.31328125000000007,0.25,0.0,1.0
9.5/93,9.5/93,6.0/265,3.0/312,4.5/281,4.5/281,8.0/140,7.0/234,1.0/343,2.0/328,40,100,100,norm_sig,0.01,0.04,0.48,2.716,1,unidentifiable,0.0,1.0,0.31015625,0.296875,0.0,1.0
6.0/109,6.0/109,9.0/78,2.0/140,6.0/109,3.0/125,10.0/62,1.0/171,6.0/109,6.0/109,40,100,100,norm_sig,0.01,0.04,0.48,2.218,1,unidentifiable,0.0,1.0,0.3296875,0.21875,0.0,1.0
9.5/46,9.5/46,7.0/78,1.0/125,5.5/93,3.0/109,8.0/62,5.5/93,3.0/109,3.0/109,40,100,100,norm_sig,0.01,0.04,0.48,1.568,1,unidentifiable,0.0,1.0,0.35,0.265625,0.0,1.0
