ghc,hc,bj,gbj,gnull,ggnull,score,fdr_ratio,minP,N,H0,H1,name,min_cor,avg_cor,max_cor,mu,eps,ghc-AvgFailPct,ghc-PctAllFail,gbj-AvgFailPct,gbj-PctAllFail,ggnull-AvgFailPct,ggnull-PctAllFail
5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,400,5000,500,I,0.0,0.0,0.0,3.462,20,0.0,0.0,0.055178571428571424,0.0,0.0,0.0
5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,400,5000,500,I,0.0,0.0,0.0,3.284,20,0.0,0.0,0.05116071428571429,0.0,0.0,0.0
4.5/1000,4.5/1000,4.5/1000,4.5/1000,4.5/1000,4.5/1000,4.5/1000,4.5/1000,9.0/993,400,5000,500,I,0.0,0.0,0.0,3.096,20,0.0,0.0,0.055,0.0,0.0,0.0
4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,8.0/984,9.0/973,400,5000,500,I,0.0,0.0,0.0,2.896,20,0.0,0.0,0.05429687500000001,0.0,0.0,0.0
4.5/997,4.5/997,4.5/997,4.5/997,4.5/997,4.5/997,1.0/1000,8.0/964,9.0/946,400,5000,500,I,0.0,0.0,0.0,2.681,20,0.0,0.0,0.06066964285714286,0.0,0.0,0.0
5.5/982,5.5/982,7.0/977,3.5/984,1.5/986,1.5/986,3.5/984,8.0/845,9.0/834,400,5000,500,I,0.0,0.0,0.0,2.448,20,0.0,0.0,0.07092633928571428,0.0,0.0,0.0
4.5/915,4.5/915,7.0/897,3.0/917,1.5/924,1.5/924,6.0/912,8.0/707,9.0/671,400,5000,500,I,0.0,0.0,0.0,2.189,20,0.0,0.0,0.0908482142857143,0.0,0.0,0.0
5.5/676,5.5/676,7.0/638,4.0/689,2.5/696,2.5/696,1.0/743,8.0/468,9.0/446,400,5000,500,I,0.0,0.0,0.0,1.896,20,0.0,0.0,0.11925223214285714,0.0,0.0,0.0
2.5/406,2.5/406,7.0/337,4.0/401,5.5/399,5.5/399,1.0/488,8.5/267,8.5/267,400,5000,500,I,0.0,0.0,0.0,1.548,20,0.0,0.0,0.17135044642857147,0.0,0.0,0.0
4.5/154,4.5/154,7.0/122,6.0/147,2.5/156,2.5/156,1.0/203,8.5/118,8.5/118,400,5000,500,I,0.0,0.0,0.0,1.095,20,0.0,0.0,0.2880915178571429,0.0,0.0,0.0
5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,400,5000,500,I,0.0,0.0,0.0,3.462,17,0.0,0.0,0.07962053571428572,0.0,0.0,0.0
8.5/997,8.5/997,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,400,5000,500,I,0.0,0.0,0.0,3.284,17,0.0,0.0,0.078046875,0.0,0.0,0.0
4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,8.0/997,9.0/986,400,5000,500,I,0.0,0.0,0.0,3.096,17,0.0,0.0,0.08066964285714286,0.0,0.0,0.0
3.0/1000,3.0/1000,6.5/997,3.0/1000,3.0/1000,3.0/1000,6.5/997,8.0/979,9.0/962,400,5000,500,I,0.0,0.0,0.0,2.896,17,0.0,0.0,0.08564732142857143,0.0,0.0,0.0
6.5/984,6.5/984,2.5/995,2.5/995,2.5/995,2.5/995,5.0/988,8.0/933,9.0/906,400,5000,500,I,0.0,0.0,0.0,2.681,17,0.0,0.0,0.08876116071428572,0.0,0.0,0.0
4.5/935,4.5/935,6.0/933,2.0/944,2.0/944,2.0/944,7.0/928,8.0/772,9.0/750,400,5000,500,I,0.0,0.0,0.0,2.448,17,0.0,0.0,0.09359375,0.0,0.0,0.0
6.5/823,6.5/823,5.0/825,1.0/857,2.5/854,2.5/854,4.0/848,8.0/631,9.0/602,400,5000,500,I,0.0,0.0,0.0,2.189,17,0.0,0.0,0.11120535714285715,0.0,0.0,0.0
5.5/651,5.5/651,7.0/595,2.0/660,3.5/654,3.5/654,1.0/676,8.0/419,9.0/399,400,5000,500,I,0.0,0.0,0.0,1.896,17,0.0,0.0,0.14688616071428573,0.0,0.0,0.0
5.5/341,5.5/341,7.0/321,4.0/386,2.5/392,2.5/392,1.0/401,8.0/243,9.0/229,400,5000,500,I,0.0,0.0,0.0,1.548,17,0.0,0.0,0.20994419642857146,0.0,0.0,0.0
2.5/167,2.5/167,7.0/111,6.0/140,4.5/149,4.5/149,1.0/174,8.5/98,8.5/98,400,5000,500,I,0.0,0.0,0.0,1.095,17,0.0,0.0,0.32392857142857145,0.008928571428571428,0.0,0.0
6.5/997,6.5/997,3.0/1000,3.0/1000,3.0/1000,3.0/1000,3.0/1000,8.5/993,8.5/993,400,5000,500,I,0.0,0.0,0.0,3.462,15,0.0,0.0,0.09973214285714287,0.0,0.0,0.0
4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,8.5/997,8.5/997,400,5000,500,I,0.0,0.0,0.0,3.284,15,0.0,0.0,0.09341517857142856,0.0,0.0,0.0
6.5/995,6.5/995,4.5/997,2.0/1000,2.0/1000,2.0/1000,4.5/997,8.0/988,9.0/979,400,5000,500,I,0.0,0.0,0.0,3.096,15,0.0,0.0,0.10723214285714287,0.0,0.0,0.0
5.5/995,5.5/995,2.5/1000,2.5/1000,2.5/1000,2.5/1000,7.0/993,8.0/959,9.0/955,400,5000,500,I,0.0,0.0,0.0,2.896,15,0.0,0.0,0.10236607142857143,0.0,0.0,0.0
6.5/953,6.5/953,4.0/977,1.0/982,2.5/979,2.5/979,5.0/962,8.0/879,9.0/848,400,5000,500,I,0.0,0.0,0.0,2.681,15,0.0,0.0,0.11339285714285714,0.0,0.0,0.0
5.5/897,5.5/897,4.0/906,1.0/917,2.5/915,2.5/915,7.0/895,8.0/767,9.0/720,400,5000,500,I,0.0,0.0,0.0,2.448,15,0.0,0.0,0.12316964285714287,0.0,0.0,0.0
5.5/741,5.5/741,7.0/738,1.0/776,2.5/765,2.5/765,4.0/761,8.0/618,9.0/595,400,5000,500,I,0.0,0.0,0.0,2.189,15,0.0,0.0,0.14362723214285714,0.0,0.0,0.0
5.5/544,5.5/544,7.0/540,1.0/578,2.5/566,2.5/566,4.0/558,8.0/361,9.0/350,400,5000,500,I,0.0,0.0,0.0,1.896,15,0.0,0.0,0.17754464285714283,0.0,0.0,0.0
2.5/312,2.5/312,7.0/254,4.0/310,5.5/305,5.5/305,1.0/368,8.0/196,9.0/187,400,5000,500,I,0.0,0.0,0.0,1.548,15,0.0,0.0,0.23488839285714283,0.0,0.0,0.0
5.5/111,5.5/111,9.0/82,3.0/113,3.0/113,3.0/113,1.0/133,7.0/93,8.0/89,400,5000,500,I,0.0,0.0,0.0,1.095,15,0.0,0.0,0.3357924107142857,0.004464285714285714,0.0,0.0
8.5/997,8.5/997,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,400,5000,500,I,0.0,0.0,0.0,3.462,13,0.0,0.0,0.12699776785714284,0.0,0.0,0.0
