,stat,type,value,H0,H1,N,mu,eps,rho1,rho2,rho3,r,theta
0,ghc,power,0.125,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hc,power,0.125,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hcs,power,0.14,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,bj,power,0.07,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,rbj,power,0.03,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gbj,power,0.065,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gnull,power,0.07,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,ggnull,power,0.03,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,cpma,power,0.08,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,score,power,0.07,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,alr,power,0.015,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,fdr,power,0.645,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,ghc,precision,0.20285576701520952,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hc,precision,0.20200747419217763,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hcs,precision,0.1973699600367022,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,bj,precision,0.06814690489566302,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,rbj,precision,0.08820413716420157,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gbj,precision,0.18174688473520248,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gnull,precision,0.0,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,ggnull,precision,0.0,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,fdr,precision,0.07137409812409812,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,ghc,recall,0.12333333333333332,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hc,recall,0.1343333333333333,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,hcs,recall,0.16599999999999998,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,bj,recall,0.2733333333333333,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,rbj,recall,0.43766666666666665,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gbj,recall,0.026000000000000002,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
0,gnull,recall,0.0,500,200,1000,1.662,15,0.3,0,0.3,0.2,0.6
