ghc,hc,bj,gbj,gnull,ggnull,cpma,score,alr,fdr_ratio,minP,H0,H1,N,mu,eps,r,theta,sig
2.5/125,2.5/125,7.0/114,4.0/122,5.5/120,5.5/120,8.0/107,1.0/199,11.0/20,9.5/43,9.5/43,5000,500,200,1.029,10,0.1,0.55,I
2.5/84,2.5/84,9.0/65,4.0/82,7.5/71,7.5/71,10.0/59,1.0/97,11.0/37,5.5/73,5.5/73,5000,500,200,1.237,10,0.144,0.55,I
1.5/247,1.5/247,7.0/79,4.0/167,5.5/162,5.5/162,8.0/70,3.0/197,11.0/44,9.0/63,10.0/60,5000,500,200,1.415,10,0.189,0.55,I
1.5/282,1.5/282,9.0/117,6.0/140,7.5/135,7.5/135,10.0/93,3.0/244,11.0/68,4.0/169,5.0/165,5000,500,200,1.572,10,0.233,0.55,I
1.5/395,1.5/395,9.0/310,5.0/342,7.5/327,7.5/327,10.0/137,6.0/340,11.0/97,3.0/361,4.0/360,5000,500,200,1.716,10,0.278,0.55,I
1.5/433,1.5/433,7.0/348,4.0/371,5.5/362,5.5/362,8.0/303,3.0/378,9.0/271,10.0/247,11.0/241,5000,500,200,1.848,10,0.322,0.55,I
4.5/546,4.5/546,6.0/463,1.0/561,2.5/551,2.5/551,11.0/254,9.0/420,10.0/319,7.0/435,8.0/427,5000,500,200,1.971,10,0.367,0.55,I
1.5/583,1.5/583,10.0/287,3.0/386,5.5/375,5.5/375,9.0/294,4.0/380,11.0/206,7.0/328,8.0/314,5000,500,200,2.087,10,0.411,0.55,I
4.5/766,4.5/766,8.5/706,1.0/879,2.5/861,2.5/861,11.0/324,8.5/706,10.0/387,6.0/738,7.0/731,5000,500,200,2.197,10,0.456,0.55,I
6.5/704,6.5/704,5.0/717,2.0/744,3.5/728,3.5/728,10.0/572,1.0/792,11.0/568,8.0/676,9.0/661,5000,500,200,2.302,10,0.5,0.55,I
4.5/63,4.5/63,9.0/52,2.0/73,4.5/63,4.5/63,10.0/40,1.0/81,11.0/29,7.5/60,7.5/60,5000,500,200,1.237,8,0.144,0.594,I
8.5/85,8.5/85,4.0/150,1.0/170,2.5/165,2.5/165,10.0/53,7.0/99,11.0/43,5.0/147,6.0/143,5000,500,200,1.415,8,0.189,0.594,I
8.5/106,8.5/106,6.0/168,3.0/188,4.5/180,4.5/180,10.0/77,7.0/127,11.0/49,1.0/239,2.0/234,5000,500,200,1.572,8,0.233,0.594,I
8.5/129,8.5/129,5.0/191,2.0/216,3.5/205,3.5/205,10.0/89,1.0/222,11.0/59,6.0/189,7.0/186,5000,500,200,1.716,8,0.278,0.594,I
2.5/373,2.5/373,8.0/303,5.0/328,6.5/315,6.5/315,10.0/186,9.0/248,11.0/162,1.0/431,4.0/356,5000,500,200,1.848,8,0.322,0.594,I
1.5/389,1.5/389,6.0/329,3.0/354,4.5/339,4.5/339,10.0/198,9.0/277,11.0/110,7.0/328,8.0/318,5000,500,200,1.971,8,0.367,0.594,I
1.5/503,1.5/503,6.0/371,3.0/404,4.5/380,4.5/380,10.0/220,9.0/310,11.0/138,7.0/361,8.0/353,5000,500,200,2.087,8,0.411,0.594,I
4.5/608,4.5/608,7.0/552,1.0/652,2.5/638,2.5/638,11.0/257,6.0/561,8.0/382,9.0/380,10.0/371,5000,500,200,2.197,8,0.456,0.594,I
5.5/580,5.5/580,4.0/600,1.0/702,2.5/689,2.5/689,10.0/280,9.0/540,11.0/264,7.0/559,8.0/552,5000,500,200,2.302,8,0.5,0.594,I
1.5/745,1.5/745,9.0/642,5.0/668,7.5/656,7.5/656,11.0/314,3.0/700,10.0/447,4.0/675,6.0/659,5000,500,200,2.402,8,0.544,0.594,I
8.5/65,8.5/65,7.0/114,4.0/128,5.5/125,5.5/125,10.0/40,1.0/146,11.0/20,2.0/132,3.0/131,5000,500,200,1.415,6,0.189,0.639,I
8.5/73,8.5/73,2.5/209,1.0/223,5.5/145,5.5/145,10.0/50,7.0/77,11.0/30,2.5/209,4.0/208,5000,500,200,1.572,6,0.233,0.639,I
2.5/160,2.5/160,9.0/89,4.0/102,7.5/94,7.5/94,10.0/59,1.0/179,11.0/44,5.0/99,6.0/97,5000,500,200,1.716,6,0.278,0.639,I
6.5/181,6.5/181,5.0/189,1.0/212,3.5/200,3.5/200,8.0/154,2.0/209,11.0/118,9.0/129,10.0/125,5000,500,200,1.848,6,0.322,0.639,I
8.5/136,8.5/136,7.0/142,3.0/169,5.5/155,5.5/155,10.0/89,4.0/159,11.0/70,1.0/287,2.0/282,5000,500,200,1.971,6,0.367,0.639,I
6.5/232,6.5/232,5.0/235,1.0/258,3.5/248,3.5/248,10.0/95,8.0/180,11.0/80,2.0/252,9.0/172,5000,500,200,2.087,6,0.411,0.639,I
7.5/386,7.5/386,6.0/404,3.0/422,4.5/412,4.5/412,10.0/187,9.0/260,11.0/171,1.0/501,2.0/424,5000,500,200,2.197,6,0.456,0.639,I
3.5/344,3.5/344,8.0/305,5.0/329,6.5/308,6.5/308,10.0/131,9.0/216,11.0/116,1.0/370,2.0/366,5000,500,200,2.302,6,0.5,0.639,I
4.5/428,4.5/428,8.0/392,1.0/493,6.5/407,6.5/407,10.0/225,9.0/388,11.0/214,2.0/464,3.0/455,5000,500,200,2.402,6,0.544,0.639,I
6.5/510,6.5/510,8.0/495,3.0/588,4.5/573,4.5/573,11.0/236,9.0/488,10.0/294,1.0/705,2.0/693,5000,500,200,2.498,6,0.589,0.639,I
5.5/62,5.5/62,9.0/49,4.0/66,7.5/56,7.5/56,10.0/31,1.5/142,11.0/25,1.5/142,3.0/140,5000,500,200,1.572,5,0.233,0.683,I
