eps,mu,Type,power,r
0,0.0,ghc,30.0,1-8
0,0.0,hc,30.0,1-8
0,0.0,bj,30.0,1-8
0,0.0,fdr,30.0,1-8
0,0.0,hc0,30.0,1-8
0,0.0,ghc0,30.0,1-8
0,0.0,bj0,30.0,1-8
0,0.0,fdr0,30.0,1-8
0,0.0,ggnull,10.0,14-17
0,0.0,gnull,10.0,14-17
0,0.0,gnull0,10.0,14-17
0,0.0,ggnull0,10.0,14-17
0,0.0,hcFull,20.0,9-13
0,0.0,minP,20.0,9-13
0,0.0,score,20.0,9-13
0,0.0,minP0,20.0,9-13
0,0.0,score0,20.0,9-13
5,2.444,hcFull,250.0,1
5,2.444,bj,130.0,10-11
5,2.444,bj0,130.0,10-11
5,2.444,ggnull,100.0,12-14
5,2.444,score,100.0,12-14
5,2.444,score0,100.0,12-14
5,2.444,gnull,90.0,15-17
5,2.444,gnull0,90.0,15-17
5,2.444,ggnull0,90.0,15-17
5,2.444,minP,210.0,2-5
5,2.444,fdr,210.0,2-5
5,2.444,minP0,210.0,2-5
5,2.444,fdr0,210.0,2-5
5,2.444,hc,160.0,6-8
5,2.444,hc0,160.0,6-8
5,2.444,ghc0,160.0,6-8
5,2.444,ghc,150.0,9
4,2.333,hc,1.0,1-8
4,2.333,gnull,1.0,1-8
4,2.333,bj,1.0,1-8
4,2.333,fdr,1.0,1-8
4,2.333,minP,1.0,1-8
4,2.333,score,1.0,1-8
4,2.333,ggnull,1.0,1-8
4,2.333,ghc,1.0,1-8
4,2.222,hc,1.0,1-8
4,2.222,gnull,1.0,1-8
4,2.222,bj,1.0,1-8
4,2.222,fdr,1.0,1-8
4,2.222,minP,1.0,1-8
4,2.222,score,1.0,1-8
4,2.222,ggnull,1.0,1-8
4,2.222,ghc,1.0,1-8
4,2.111,hc,1.0,1-8
4,2.111,gnull,1.0,1-8
4,2.111,bj,1.0,1-8
4,2.111,fdr,1.0,1-8
4,2.111,minP,1.0,1-8
4,2.111,score,1.0,1-8
4,2.111,ggnull,1.0,1-8
4,2.111,ghc,1.0,1-8
4,2.0,hc,1.0,1-8
4,2.0,gnull,1.0,1-8
4,2.0,bj,1.0,1-8
4,2.0,fdr,1.0,1-8
4,2.0,minP,1.0,1-8
4,2.0,score,1.0,1-8
4,2.0,ggnull,1.0,1-8
4,2.0,ghc,1.0,1-8
3,2.333,hc,1.0,1-8
3,2.333,gnull,1.0,1-8
3,2.333,bj,1.0,1-8
3,2.333,fdr,1.0,1-8
3,2.333,minP,1.0,1-8
3,2.333,score,1.0,1-8
3,2.333,ggnull,1.0,1-8
3,2.333,ghc,1.0,1-8
3,2.222,hc,1.0,1-8
3,2.222,gnull,1.0,1-8
3,2.222,bj,1.0,1-8
3,2.222,fdr,1.0,1-8
3,2.222,minP,1.0,1-8
3,2.222,score,1.0,1-8
3,2.222,ggnull,1.0,1-8
3,2.222,ghc,1.0,1-8
3,2.111,hc,1.0,1-8
3,2.111,gnull,1.0,1-8
3,2.111,bj,1.0,1-8
3,2.111,fdr,1.0,1-8
3,2.111,minP,1.0,1-8
3,2.111,score,1.0,1-8
3,2.111,ggnull,1.0,1-8
3,2.111,ghc,1.0,1-8
3,2.0,hc,1.0,1-8
3,2.0,gnull,1.0,1-8
3,2.0,bj,1.0,1-8
3,2.0,fdr,1.0,1-8
3,2.0,minP,1.0,1-8
3,2.0,score,1.0,1-8
3,2.0,ggnull,1.0,1-8
3,2.0,ghc,1.0,1-8
2,2.333,hc,1.0,1-8
2,2.333,gnull,1.0,1-8
2,2.333,bj,1.0,1-8
2,2.333,fdr,1.0,1-8
2,2.333,minP,1.0,1-8
2,2.333,score,1.0,1-8
2,2.333,ggnull,1.0,1-8
2,2.333,ghc,1.0,1-8
2,2.222,hc,1.0,1-8
2,2.222,gnull,1.0,1-8
2,2.222,bj,1.0,1-8
2,2.222,fdr,1.0,1-8
2,2.222,minP,1.0,1-8
2,2.222,score,1.0,1-8
2,2.222,ggnull,1.0,1-8
2,2.222,ghc,1.0,1-8
2,2.111,hc,1.0,1-8
2,2.111,gnull,1.0,1-8
2,2.111,bj,1.0,1-8
2,2.111,fdr,1.0,1-8
2,2.111,minP,1.0,1-8
2,2.111,score,1.0,1-8
2,2.111,ggnull,1.0,1-8
2,2.111,ghc,1.0,1-8
2,2.0,hc,1.0,1-8
