eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
0,0.0,ghc,0,0
10,2.444,ggnull,0,0
10,2.444,ghc,0,0
10,2.556,ggnull,0,0
10,2.556,ghc,0,0
12,2.444,ggnull,0,0
12,2.444,ghc,0,0
12,2.556,ggnull,0,0
12,2.556,ghc,0,0
10,2.333,ggnull,0,0
10,2.333,ghc,0,0
10,2.667,ggnull,0,0
10,2.667,ghc,0,0
12,2.333,ggnull,0,0
12,2.333,ghc,0,0
12,2.667,ggnull,0,0
12,2.667,ghc,0,0
10,2.222,ggnull,0,0
10,2.222,ghc,0,0
10,2.778,ggnull,0,0
10,2.778,ghc,0,0
12,2.222,ggnull,0,0
12,2.222,ghc,0,0
12,2.778,ggnull,0,0
12,2.778,ghc,0,0
10,2.111,ggnull,0,0
10,2.111,ghc,0,0
10,2.889,ggnull,0,0
10,2.889,ghc,0,0
12,2.111,ggnull,0,0
12,2.111,ghc,0,0
12,2.889,ggnull,0,0
12,2.889,ghc,0,0
10,2.0,ggnull,0,0
10,2.0,ghc,0,0
10,3.0,ggnull,0,0
10,3.0,ghc,0,0
12,2.0,ggnull,0,0
12,2.0,ghc,0,0
12,3.0,ggnull,0,0
12,3.0,ghc,0,0
8,2.444,ggnull,0,0
8,2.444,ghc,0,0
8,2.556,ggnull,0,0
8,2.556,ghc,0,0
14,2.444,ggnull,0,0
14,2.444,ghc,0,0
14,2.556,ggnull,0,0
14,2.556,ghc,0,0
8,2.333,ggnull,0,0
8,2.333,ghc,0,0
8,2.667,ggnull,0,0
8,2.667,ghc,0,0
14,2.333,ggnull,0,0
14,2.333,ghc,0,0
14,2.667,ggnull,0,0
14,2.667,ghc,0,0
8,2.222,ggnull,0,0
8,2.222,ghc,0,0
8,2.778,ggnull,0,0
8,2.778,ghc,0,0
14,2.222,ggnull,0,0
14,2.222,ghc,0,0
14,2.778,ggnull,0,0
14,2.778,ghc,0,0
8,2.111,ggnull,0,0
8,2.111,ghc,0,0
8,2.889,ggnull,0,0
8,2.889,ghc,0,0
14,2.111,ggnull,0,0
14,2.111,ghc,0,0
14,2.889,ggnull,0,0
14,2.889,ghc,0,0
8,2.0,ggnull,0,0
8,2.0,ghc,0,0
8,3.0,ggnull,0,0
8,3.0,ghc,0,0
14,2.0,ggnull,0,0
14,2.0,ghc,0,0
6,2.444,ggnull,0,0
6,2.444,ghc,0,0
6,2.556,ggnull,0,0
6,2.556,ghc,0,0
16,2.444,ggnull,0,0
16,2.444,ghc,0,0
16,2.556,ggnull,0,0
16,2.556,ghc,0,0
6,2.333,ggnull,0,0
6,2.333,ghc,0,0
6,2.667,ggnull,0,0
6,2.667,ghc,0,0
16,2.333,ggnull,0,0
16,2.333,ghc,0,0
16,2.667,ggnull,0,0
16,2.667,ghc,0,0
6,2.222,ggnull,0,0
6,2.222,ghc,0,0
6,2.778,ggnull,0,0
6,2.778,ghc,0,0
16,2.222,ggnull,0,0
16,2.222,ghc,0,0
16,2.778,ggnull,0,0
16,2.778,ghc,0,0
6,2.111,ggnull,0,0
6,2.111,ghc,0,0
6,2.889,ggnull,0,0
6,2.889,ghc,0,0
16,2.111,ggnull,0,0
16,2.111,ghc,0,0
6,3.0,ggnull,0,0
6,3.0,ghc,0,0
16,2.0,ggnull,0,0
16,2.0,ghc,0,0
4,2.444,ggnull,0,0
4,2.444,ghc,0,0
4,2.556,ggnull,0,0
4,2.556,ghc,0,0
18,2.444,ggnull,0,0
18,2.444,ghc,0,0
18,2.556,ggnull,0,0
18,2.556,ghc,0,0
4,2.333,ggnull,0,0
4,2.333,ghc,0,0
4,2.667,ggnull,0,0
4,2.667,ghc,0,0
18,2.333,ggnull,0,0
18,2.333,ghc,0,0
18,2.667,ggnull,0,0
18,2.667,ghc,0,0
4,2.778,ggnull,0,0
4,2.778,ghc,0,0
18,2.222,ggnull,0,0
18,2.222,ghc,0,0
18,2.778,ggnull,0,0
18,2.778,ghc,0,0
4,2.889,ggnull,0,0
4,2.889,ghc,0,0
18,2.111,ggnull,0,0
18,2.111,ghc,0,0
4,3.0,ggnull,0,0
4,3.0,ghc,0,0
18,2.0,ggnull,0,0
18,2.0,ghc,0,0
2,2.556,ggnull,0,0
2,2.556,ghc,0,0
20,2.444,ggnull,0,0
20,2.444,ghc,0,0
20,2.556,ggnull,0,0
20,2.556,ghc,0,0
2,2.667,ggnull,0,0
2,2.667,ghc,0,0
20,2.333,ggnull,0,0
20,2.333,ghc,0,0
20,2.667,ggnull,0,0
20,2.667,ghc,0,0
2,2.778,ggnull,0,0
2,2.778,ghc,0,0
20,2.222,ggnull,0,0
20,2.222,ghc,0,0
2,2.889,ggnull,0,0
2,2.889,ghc,0,0
20,2.111,ggnull,0,0
20,2.111,ghc,0,0
2,3.0,ggnull,0,0
2,3.0,ghc,0,0
20,2.0,ggnull,0,0
20,2.0,ghc,0,0
