eps,mu,Type,power,r
0,0.0,ghcFull,49.166666666666664,1
0,0.0,hc,49.0,2
0,0.0,fdr,48.93333333333334,3
0,0.0,minP,48.800000000000004,4
0,0.0,ghc,48.4,5
0,0.0,ggnull,47.66666666666667,6
0,0.0,bj,47.4,7
0,0.0,score,47.33333333333333,8
0,0.0,gnull,46.86666666666667,9
4,2.5,ggnull,347.43333333333334,1
4,2.5,ghcFull,341.2,2
4,2.5,fdr,339.4666666666667,3
4,2.5,minP,338.1333333333333,4
4,2.5,gnull,321.5,5
4,2.5,bj,309.2,6
4,2.5,score,225.23333333333335,7
4,2.5,ghc,158.76666666666668,8
4,2.5,hc,157.4,9
4,2.0,ghcFull,200.13333333333333,1
4,2.0,fdr,199.4,2
4,2.0,minP,198.76666666666668,3
4,2.0,ggnull,197.3,4
4,2.0,gnull,179.4,5
4,2.0,bj,171.5,6
4,2.0,score,138.2,7
4,2.0,hc,108.8,8
4,2.0,ghc,108.36666666666666,9
4,3.0,ggnull,554.0,1
4,3.0,ghcFull,529.1,2
4,3.0,fdr,525.0666666666667,3
4,3.0,gnull,523.3666666666667,4
4,3.0,minP,522.3666666666667,5
4,3.0,bj,509.4333333333333,6
4,3.0,score,366.4,7
4,3.0,ghc,204.26666666666668,8
4,3.0,hc,202.83333333333334,9
2,2.5,ghcFull,238.56666666666666,1
2,2.5,fdr,238.03333333333336,2
2,2.5,minP,237.53333333333336,3
2,2.5,ggnull,217.33333333333331,4
2,2.5,gnull,187.29999999999998,5
2,2.5,bj,183.86666666666667,6
2,2.5,score,116.1,7
2,2.5,hc,81.06666666666666,8
2,2.5,ghc,80.60000000000001,9
6,2.5,gnull,471.9,1
6,2.5,ggnull,471.3,2
6,2.5,bj,452.6666666666667,3
6,2.5,ghcFull,403.96666666666664,4
6,2.5,fdr,397.7,5
6,2.5,minP,395.03333333333336,6
6,2.5,score,382.90000000000003,7
6,2.5,ghc,284.1333333333333,8
6,2.5,hc,283.8666666666667,9
2,2.0,ghcFull,152.96666666666667,1
2,2.0,fdr,152.79999999999998,2
2,2.0,minP,152.53333333333333,3
2,2.0,ggnull,138.53333333333333,4
2,2.0,gnull,122.23333333333333,5
2,2.0,bj,120.23333333333333,6
2,2.0,score,86.56666666666666,7
2,2.0,ghc,67.0,8
2,2.0,hc,66.56666666666666,9
2,3.0,ghcFull,352.43333333333334,1
2,3.0,fdr,351.3666666666667,2
2,3.0,minP,350.3,3
2,3.0,ggnull,324.93333333333334,4
2,3.0,gnull,282.0,5
2,3.0,bj,279.0,6
2,3.0,score,160.20000000000002,7
2,3.0,hc,91.6,8
2,3.0,ghc,91.16666666666666,9
6,2.0,ggnull,258.76666666666665,1
6,2.0,gnull,255.63333333333333,2
6,2.0,bj,241.5,3
6,2.0,ghcFull,234.83333333333334,4
6,2.0,fdr,232.6,5
6,2.0,minP,231.53333333333333,6
6,2.0,score,213.13333333333335,7
6,2.0,ghc,183.56666666666666,8
6,2.0,hc,182.7,9
6,3.0,gnull,731.9,1
6,3.0,ggnull,728.5666666666667,2
6,3.0,bj,713.9666666666666,3
6,3.0,ghcFull,626.5,4
6,3.0,score,621.7,5
6,3.0,fdr,616.2666666666667,6
6,3.0,minP,611.0333333333333,7
6,3.0,ghc,411.0333333333333,8
6,3.0,hc,411.0,9
