eps,mu,Type,power,r
0,0.0,minP,50.6,1
0,0.0,bj,49.8,2
0,0.0,fdr,49.4,3
0,0.0,gnull,48.7,4
0,0.0,score,48.4,5
0,0.0,ggnull,48.2,6
0,0.0,ghc,48.0,7-8
0,0.0,hc,48.0,7-8
12,2.28,fdr,234.1,1
12,2.28,minP,230.0,2
12,2.28,gnull,219.29999999999998,3
12,2.28,ghc,217.5,4-5
12,2.28,hc,217.5,4-5
12,2.28,ggnull,215.2,6
12,2.28,bj,184.29999999999998,7
12,2.28,score,161.39999999999998,8
9,2.04,hc,1.0,1-8
9,2.04,gnull,1.0,1-8
9,2.04,bj,1.0,1-8
9,2.04,fdr,1.0,1-8
9,2.04,minP,1.0,1-8
9,2.04,score,1.0,1-8
9,2.04,ggnull,1.0,1-8
9,2.04,ghc,1.0,1-8
9,1.8,hc,1.0,1-8
9,1.8,gnull,1.0,1-8
9,1.8,bj,1.0,1-8
9,1.8,fdr,1.0,1-8
9,1.8,minP,1.0,1-8
9,1.8,score,1.0,1-8
9,1.8,ggnull,1.0,1-8
9,1.8,ghc,1.0,1-8
5,2.04,hc,1.0,1-8
5,2.04,gnull,1.0,1-8
5,2.04,bj,1.0,1-8
5,2.04,fdr,1.0,1-8
5,2.04,minP,1.0,1-8
5,2.04,score,1.0,1-8
5,2.04,ggnull,1.0,1-8
5,2.04,ghc,1.0,1-8
5,1.8,hc,1.0,1-8
5,1.8,gnull,1.0,1-8
5,1.8,bj,1.0,1-8
5,1.8,fdr,1.0,1-8
5,1.8,minP,1.0,1-8
5,1.8,score,1.0,1-8
5,1.8,ggnull,1.0,1-8
5,1.8,ghc,1.0,1-8
2,2.04,hc,1.0,1-8
2,2.04,gnull,1.0,1-8
2,2.04,bj,1.0,1-8
2,2.04,fdr,1.0,1-8
2,2.04,minP,1.0,1-8
2,2.04,score,1.0,1-8
2,2.04,ggnull,1.0,1-8
2,2.04,ghc,1.0,1-8
2,1.8,hc,1.0,1-8
2,1.8,gnull,1.0,1-8
2,1.8,bj,1.0,1-8
2,1.8,fdr,1.0,1-8
2,1.8,minP,1.0,1-8
2,1.8,score,1.0,1-8
2,1.8,ggnull,1.0,1-8
2,1.8,ghc,1.0,1-8
12,2.52,fdr,345.1,1
12,2.52,minP,340.4,2
12,2.52,gnull,330.79999999999995,3
12,2.52,ggnull,328.40000000000003,4
12,2.52,ghc,303.3,5
12,2.52,hc,303.20000000000005,6
12,2.52,bj,289.9,7
12,2.52,score,192.3,8
9,2.28,fdr,187.0,1
9,2.28,minP,185.20000000000002,2
9,2.28,gnull,162.3,3
9,2.28,ggnull,159.39999999999998,4
9,2.28,ghc,157.0,5-6
9,2.28,hc,157.0,5-6
9,2.28,bj,132.6,7
9,2.28,score,120.89999999999999,8
9,2.52,fdr,266.1,1
9,2.52,minP,261.2,2
9,2.52,gnull,238.5,3
9,2.52,ggnull,235.0,4
9,2.52,ghc,220.29999999999998,5-6
9,2.52,hc,220.29999999999998,5-6
9,2.52,bj,206.6,7
9,2.52,score,146.0,8
12,2.04,gnull,150.0,1
12,2.04,ggnull,148.60000000000002,2
12,2.04,fdr,145.5,3
12,2.04,ghc,144.6,4-5
12,2.04,hc,144.6,4-5
12,2.04,minP,143.5,6
12,2.04,score,128.3,7
12,2.04,bj,119.9,8
12,2.76,gnull,496.0,1
12,2.76,fdr,493.8,2
12,2.76,ggnull,490.4,3
12,2.76,minP,480.4,4
12,2.76,hc,452.6,5
12,2.76,ghc,452.29999999999995,6
12,2.76,bj,451.5,7
12,2.76,score,252.5,8
9,2.76,fdr,396.1,1
9,2.76,minP,388.2,2
9,2.76,gnull,346.2,3
9,2.76,ggnull,341.3,4
9,2.76,bj,313.09999999999997,5
9,2.76,hc,306.20000000000005,6
9,2.76,ghc,306.09999999999997,7
9,2.76,score,168.9,8
12,1.8,ghc,115.2,1
12,1.8,hc,115.1,2
12,1.8,gnull,114.5,3
