# id	sire	dam	sex	generation
-9999	0	0	1	F0
-9998	0	0	2	F0
-9997	-9999	-9998	1	F1
-9996	-9999	-9998	2	F1
66	-9997	-9996	2	F2
67	-9997	-9996	2	F2
68	-9997	-9996	1	F2
73	-9997	-9996	1	F2
84	-9997	-9996	1	F2
87	-9997	-9996	1	F2
97	-9997	-9996	2	F2
100	-9997	-9996	1	F2
101	-9997	-9996	2	F2
104	-9997	-9996	2	F2
108	-9997	-9996	1	F2
113	-9997	-9996	2	F2
115	-9997	-9996	1	F2
116	-9997	-9996	2	F2
118	-9997	-9996	1	F2
120	-9997	-9996	1	F2
121	-9997	-9996	2	F2
123	-9997	-9996	1	F2
124	-9997	-9996	2	F2
125	-9997	-9996	1	F2
127	-9997	-9996	1	F2
128	-9997	-9996	2	F2
130	-9997	-9996	2	F2
131	-9997	-9996	1	F2
132	-9997	-9996	2	F2
135	-9997	-9996	2	F2
136	-9997	-9996	1	F2
141	-9997	-9996	2	F2
143	-9997	-9996	1	F2
154	-9997	-9996	1	F2
155	-9997	-9996	2	F2
160	-9997	-9996	1	F2
162	-9997	-9996	2	F2
165	-9997	-9996	1	F2
167	-9997	-9996	2	F2
168	-9997	-9996	2	F2
175	-9997	-9996	2	F2
178	-9997	-9996	2	F2
183	-9997	-9996	1	F2
186	-9997	-9996	1	F2
187	-9997	-9996	2	F2
190	-9997	-9996	2	F2
191	-9997	-9996	2	F2
195	-9997	-9996	1	F2
196	-9997	-9996	1	F2
197	-9997	-9996	1	F2
198	-9997	-9996	2	F2
200	-9997	-9996	1	F2
201	-9997	-9996	2	F2
202	-9997	-9996	2	F2
203	-9997	-9996	2	F2
204	-9997	-9996	1	F2
208	-9997	-9996	2	F2
210	-9997	-9996	1	F2
213	-9997	-9996	2	F2
215	-9997	-9996	2	F2
216	-9997	-9996	2	F2
217	-9997	-9996	1	F2
218	-9997	-9996	1	F2
220	-9997	-9996	1	F2
222	-9997	-9996	1	F2
223	-9997	-9996	1	F2
225	-9997	-9996	1	F2
226	-9997	-9996	2	F2
228	-9997	-9996	2	F2
229	-9997	-9996	1	F2
230	-9997	-9996	1	F2
231	-9997	-9996	1	F2
232	-9997	-9996	1	F2
233	-9997	-9996	2	F2
236	-9997	-9996	2	F2
238	-9997	-9996	1	F2
239	-9997	-9996	1	F2
242	-9997	-9996	2	F2
243	-9997	-9996	2	F2
245	-9997	-9996	1	F2
249	-9997	-9996	2	F2
250	-9997	-9996	1	F2
251	-9997	-9996	1	F2
