      chr        mid      maxMbp   num       addMbp
0    chr1  99.079910  195.159636   1.0     0.000000
11   chr2  92.387871  181.708034   2.0   195.159636
12   chr3  81.464770  159.925896   3.0   376.867670
13   chr4  79.720608  156.357586   4.0   536.793566
14   chr5  77.324024  151.645584   5.0   693.151152
15   chr6  76.452086  149.532082   6.0   844.796736
16   chr7  74.409814  145.340829   7.0   994.328818
17   chr8  68.185126  129.290817   8.0  1139.669647
18   chr9  66.707162  124.353913   9.0  1268.960464
1   chr10  73.405533  130.369004  10.0  1393.314377
2   chr11  62.660532  121.509086  11.0  1523.683381
3   chr12  61.634489  120.028574  12.0  1645.192467
4   chr13  67.966726  119.957111  13.0  1765.221041
5   chr14  63.699743  124.392998  14.0  1885.178152
6   chr15  53.610915  103.934828  15.0  2009.571150
7   chr16  49.711042   96.307081  16.0  2113.505978
8   chr17  48.766258   94.531852  17.0  2209.813059
9   chr18  42.655493   82.306999  18.0  2304.344911
10  chr19  32.214731   61.302032  19.0  2386.651910
      chr        mid      maxMbp   num       addMbp
0    chr1  98.752409  194.504633   1.0     0.000000
11   chr2  92.482265  181.896822   2.0   194.504633
12   chr3  81.464770  159.925896   3.0   376.401455
13   chr4  79.720608  156.357586   4.0   536.327351
14   chr5  77.324024  151.645584   5.0   692.684937
15   chr6  76.452086  149.532082   6.0   844.330521
16   chr7  74.409814  145.340829   7.0   993.862603
17   chr8  68.185126  129.290817   8.0  1139.203432
18   chr9  66.707162  124.353913   9.0  1268.494249
1   chr10  73.405533  130.369004  10.0  1392.848162
2   chr11  62.660532  121.509086  11.0  1523.217166
3   chr12  61.634489  120.028574  12.0  1644.726252
4   chr13  67.966726  119.957111  13.0  1764.754826
5   chr14  63.699743  124.392998  14.0  1884.711937
6   chr15  53.610915  103.934828  15.0  2009.104935
7   chr16  49.711042   96.307081  16.0  2113.039763
8   chr17  48.766258   94.531852  17.0  2209.346844
9   chr18  42.655493   82.306999  18.0  2303.878696
10  chr19  32.214731   61.302032  19.0  2386.185695
      chr        mid      maxMbp   num       addMbp
0    chr1  98.752409  194.504633   1.0     0.000000
11   chr2  92.387871  181.708034   2.0   194.504633
12   chr3  81.464770  159.925896   3.0   376.212667
13   chr4  79.720608  156.357586   4.0   536.138563
14   chr5  77.324024  151.645584   5.0   692.496149
15   chr6  76.452086  149.532082   6.0   844.141733
16   chr7  74.409814  145.340829   7.0   993.673815
17   chr8  68.185126  129.290817   8.0  1139.014644
18   chr9  66.707162  124.353913   9.0  1268.305461
1   chr10  73.405533  130.369004  10.0  1392.659374
2   chr11  62.660532  121.509086  11.0  1523.028378
3   chr12  61.634489  120.028574  12.0  1644.537464
4   chr13  67.966726  119.957111  13.0  1764.566038
5   chr14  63.699743  124.392998  14.0  1884.523149
6   chr15  53.610915  103.934828  15.0  2008.916147
7   chr16  49.711042   96.307081  16.0  2112.850975
8   chr17  48.766258   94.531852  17.0  2209.158056
9   chr18  42.655493   82.306999  18.0  2303.689908
10  chr19  32.214731   61.302032  19.0  2385.996907
      chr        mid      maxMbp   num       addMbp
0    chr1  98.752409  194.504633   1.0     0.000000
11   chr2  92.387871  181.708034   2.0   194.504633
12   chr3  81.464770  159.925896   3.0   376.212667
13   chr4  78.678793  156.357586   4.0   536.138563
14   chr5  77.324024  151.645584   5.0   692.496149
15   chr6  76.452086  149.532082   6.0   844.141733
16   chr7  74.409814  145.340829   7.0   993.673815
17   chr8  68.185126  129.290817   8.0  1139.014644
18   chr9  66.707162  124.353913   9.0  1268.305461
1   chr10  73.405533  130.369004  10.0  1392.659374
2   chr11  62.660532  121.509086  11.0  1523.028378
3   chr12  61.634489  120.028574  12.0  1644.537464
4   chr13  67.966726  119.957111  13.0  1764.566038
5   chr14  63.699743  124.392998  14.0  1884.523149
6   chr15  53.610915  103.934828  15.0  2008.916147
7   chr16  49.711042   96.307081  16.0  2112.850975
8   chr17  48.766258   94.531852  17.0  2209.158056
9   chr18  42.655493   82.306999  18.0  2303.689908
